Product Name,Product Link,Shop Name,Shop Link,Price,Est. Sales,Est. Revenue,Growth Rate,Est. Total Sales,Total Reviews,Listing Age,Total Favorites,Avg. Reviews,Total Views,Category,Tags Used,Auto Renews,Is Customizable,Is Personalizable,Description Character Count,Has Variants,Is Supply,Minimum Processing,Placement Of Listing In Shop,Shipped From,Shop Age,Visibility Score,Conversion Rate,Shop Digital Listing,Title Character Count,When Made,Who Made,Total Shop Sales,Listing Type,Tags,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,Tag 7,Tag 8,Tag 9,Tag 10,Tag 11,Tag 12,Tag 13
Custom Website Design | Modern Minimalist UI UX | E-commerce Service,https://www.etsy.com/listing/4428079681/custom-website-design-modern-minimalist,CreativeBrainweb,https://www.etsy.com/shop/CreativeBrainweb,2321.08,15,34816,0,14,1,4 Mo.,11,0,608,Paper & Party Supplies,,true,false,false,,false,false,,-1,,10,48,2.3,427,68,2007_2009,i_did,3635,download,"website for business,business website,business success,website design,custom design,shopify website,website banner,website template,ui design,canva website,wix website template,shopify,shopify template",website for business,business website,business success,website design,custom design,shopify website,website banner,website template,ui design,canva website,wix website template,shopify,shopify template
"Custom Playing Cards, How Lucky are We Print, Personalized Prints for him, Anniversary Gift for Boyfriend, Couple Picture Frame, DIY Canva",https://www.etsy.com/listing/4450941465/custom-playing-cards-how-lucky-are-we,CerezaStudioDesign,https://www.etsy.com/shop/CerezaStudioDesign,43.54,268,11668,-74,578,37,2 Mo.,1412,19,33757,Paper & Party Supplies,,true,false,false,,false,false,,0,,9,100,1.71,48,138,2020_2026,i_did,3190,download,"playing card art,photo card collage,couple photo gift,anniversary wall art,love photo poster,diy photo template,romantic home decor,valentines gift,relationship gift,custom card poster,modern couple art,canva template,last minute gift",playing card art,photo card collage,couple photo gift,anniversary wall art,love photo poster,diy photo template,romantic home decor,valentines gift,relationship gift,custom card poster,modern couple art,canva template,last minute gift
"TEMPLATE, All 12 Color Seasons, Sub-Seasons, Tool for Stylists, Image Consultants, & Colour Analysts, Client Handout, Customisable in Canva",https://www.etsy.com/listing/4341313630/template-all-12-color-seasons-sub,OleseaStyle,https://www.etsy.com/shop/OleseaStyle,202.34,44,8903,-100,81,14,9 Mo.,204,2,6540,Paper & Party Supplies,,false,false,false,,false,false,,-1,,39,100,1.24,39,139,2007_2009,i_did,995,download,"twelve color seasons,12 colour sub-season,canva template,colour analysis,color analyst,image consultant,tool kit swatches,colorimetrie,colour palette,personal stylist,makeup hmua,wardrobe styling,armocromia",twelve color seasons,12 colour sub-season,canva template,colour analysis,color analyst,image consultant,tool kit swatches,colorimetrie,colour palette,personal stylist,makeup hmua,wardrobe styling,armocromia
Printable Personalized Playing Card Photo Collage Wall Art Anniversary Valentines Birthday Boyfriend Girlfriend Gift Framed Decor Lucky Us,https://www.etsy.com/listing/4449467859/printable-personalized-playing-card,tohkyopress,https://www.etsy.com/shop/tohkyopress,42.78,199,8514,-57,690,40,3 Mo.,381,13,24829,Art & Collectibles,,true,false,true,,false,true,,0,,43,100,2.78,22,138,2020_2026,i_did,3590,download,"editable love print,couples gift idea,custom wall decor,romantic gift him,valentine printable,anniversary poster,digital love print,modern couple gift,canva art template,printable gift,matchbook template,matchbook poster,playing cards print",editable love print,couples gift idea,custom wall decor,romantic gift him,valentine printable,anniversary poster,digital love print,modern couple gift,canva art template,printable gift,matchbook template,matchbook poster,playing cards print
Clinic Marketing Mega Bundle IV Hydration Templates Functional Medicine Weight Loss GLP1 MedSpa Flyers Hormone Therapy Canva Template,https://www.etsy.com/listing/4361526450/clinic-marketing-mega-bundle-iv,LivNivDesign,https://www.etsy.com/shop/LivNivDesign,697.28,10,6973,200,14,1,8 Mo.,7,0,227,Paper & Party Supplies,,true,false,false,,false,false,,2,,96,0,6.17,138,133,2007_2009,i_did,7431,download,"clinic bundle,medspa bundle,iv therapy kit,glp1 bundle,weight loss kit,functional med,hormone therapy,nurse concierge,wellness clinic,medical flyer,canva template,marketing pack,store access",clinic bundle,medspa bundle,iv therapy kit,glp1 bundle,weight loss kit,functional med,hormone therapy,nurse concierge,wellness clinic,medical flyer,canva template,marketing pack,store access
Custom Website Design Service | Modern UI UX | E-Commerce Website Design,https://www.etsy.com/listing/4314868605/custom-website-design-service-modern-ui,CreativeBrainweb,https://www.etsy.com/shop/CreativeBrainweb,451.31,15,6770,0,14,1,10 Mo.,1,0,171,Paper & Party Supplies,,true,false,false,,false,false,,-1,,10,0,8.19,427,72,2007_2009,i_did,3657,download,"website for business,business website,business success,website design,custom design,shopify website,website banner,website template,ui design,canva website,wix website template,shopify,shopify template",website for business,business website,business success,website design,custom design,shopify website,website banner,website template,ui design,canva website,wix website template,shopify,shopify template
Friend Birthday Magazine Template | Fully Editable Canva Gift (Digital Download),https://www.etsy.com/listing/4296954135/birthday-magazine-template-for-best,TheCanvaDesigns,https://www.etsy.com/shop/TheCanvaDesigns,26.50,242,6412,-13,4672,202,12 Mo.,5544,17,266542,"Books, Movies & Music",,false,false,false,,false,false,,0,,13,100,1.75,25,102,2007_2009,i_did,6546,download,"birthday magazine,magazine template,custom magazine,magazine cover,editable magazine,digital gift,birthday gift,friendship gift,canva template,gift for her,magazine design,birthday template,personalized gift",birthday magazine,magazine template,custom magazine,magazine cover,editable magazine,digital gift,birthday gift,friendship gift,canva template,gift for her,magazine design,birthday template,personalized gift
"Locally Grown Baby Shower Bundle, Farmers Market Baby Shower Bundle, Locally Grown Baby Shower Games, Locally Grown Baby Shower Invitation",https://www.etsy.com/listing/4353617089/locally-grown-baby-shower-bundle-farmers,BubbaBloomPrints,https://www.etsy.com/shop/BubbaBloomPrints,66.02,94,6206,-50,232,20,8 Mo.,427,3,12562,Paper & Party Supplies,,true,false,false,,false,false,,-1,,9,100,1.85,211,138,2007_2009,i_did,1935,download,"locally grown,locally grown baby,locally grown shower,locally grown bundle,farmers market baby,farmers market,baby shower games,baby shower invite,printable bundle,locally grown invite,editable invite,canva template,garden baby shower",locally grown,locally grown baby,locally grown shower,locally grown bundle,farmers market baby,farmers market,baby shower games,baby shower invite,printable bundle,locally grown invite,editable invite,canva template,garden baby shower
"Real Estate Listing & Buyer Presentation Bundle, Home Seller Guide, Home Buyer Guide, Real Estate Marketing Canva Template, NAR Settlement",https://www.etsy.com/listing/4351531347/real-estate-listing-buyer-presentation,realestatetemplateco,https://www.etsy.com/shop/realestatetemplateco,69.73,83,5787,600,372,36,8 Mo.,509,5,12479,Paper & Party Supplies,,true,false,false,,false,false,,6,,77,100,2.98,1318,138,2007_2009,i_did,87668,download,"real estate template,realtor canva,listing presentation,buyer presentation,real estate bundle,canva template,home seller guide,home buyer guide,realestatemarketing,nar settlement,canva marketing kit,canvarealtortemplate,2026 presentation",real estate template,realtor canva,listing presentation,buyer presentation,real estate bundle,canva template,home seller guide,home buyer guide,realestatemarketing,nar settlement,canva marketing kit,canvarealtortemplate,2026 presentation
Graduation Custom High School College Banner - Instant Download - Print at Walgreens!,https://www.etsy.com/listing/4458314798/custom-graduation-banner-instant,HotGirlTemplatez,https://www.etsy.com/shop/HotGirlTemplatez,26.48,217,5747,80,390,23,2 Mo.,232,12,6469,Paper & Party Supplies,,true,false,false,,false,false,,0,,43,100,6.03,68,85,2020_2026,i_did,2477,download,"custom banner,custom,party banner,banner,party decor,canva,banner template,graduation banner,walgreens banner,graduation,graduation party,college grad,high school grad",custom banner,custom,party banner,banner,party decor,canva,banner template,graduation banner,walgreens banner,graduation,graduation party,college grad,high school grad
CUSTOM banner template | Walgreens Printable | 2x6  | Banner Template| Digital Download,https://www.etsy.com/listing/4448342472/custom-banner-template-walgreens,LittleBelleCustomsCo,https://www.etsy.com/shop/LittleBelleCustomsCo,18.12,296,5362,-25,335,37,3 Mo.,198,12,5286,Art & Collectibles,,true,false,true,,false,true,,-1,,53,100,6.34,107,87,made_to_order,i_did,1722,download,"birthday,first birthday,walgreens,walgreens banner,banner birthday,custom banners,custom,custom edit,editable canva,editable banner,editable template,template",birthday,first birthday,walgreens,walgreens banner,banner birthday,custom banners,custom,custom edit,editable canva,editable banner,editable template,template,--
Hairstylist Instagram Templates | Hair Salon Social Media Canva Posts (160 Templates),https://www.etsy.com/listing/4469565316/hairstylist-instagram-templates-hair,SenseOfSocial,https://www.etsy.com/shop/SenseOfSocial,75.58,70,5291,0,71,3,1 Mo.,21,3,536,,,true,false,false,,false,false,,-1,,33,72,13.25,291,85,2020_2026,i_did,6283,download,"nails templates,instagram templates,canva template,nail tech templates,branding kit,hair style template,haidresser template,hair stylist post,hairdresser post,hairdresser instagra,hair salon templates,hairdresser canva,hair post templates",nails templates,instagram templates,canva template,nail tech templates,branding kit,hair style template,haidresser template,hair stylist post,hairdresser post,hairdresser instagra,hair salon templates,hairdresser canva,hair post templates
